customer_id,first_name,last_name,email,phone,company,city,country,registration_date,birth_date,total_spent,is_active,customer_segment
1,Sarah,Smith,customer1@email.com,+1-859-381-5012,InfoTech,Chicago,Canada,2023-10-17,2008-12-04,869.39,False,Premium
2,John,Williams,customer2@email.com,+1-323-338-9279,AppCorp,New York,Netherlands,2021-02-11,2018-04-21,7013.25,False,Premium
3,Thomas,Jackson,customer3@email.com,+1-384-928-1106,CloudSys,Jacksonville,Spain,2021-11-27,1984-12-05,1554.79,False,Premium
4,Michael,Gonzalez,customer4@email.com,+1-199-467-6635,AppCorp,Phoenix,USA,2022-07-29,2008-02-09,1248.26,False,Premium
5,Nancy,Martinez,customer5@email.com,+1-949-743-6925,AppCorp,Houston,Canada,2020-04-03,2019-04-29,2278.98,False,Premium
6,Emily,Brown,customer6@email.com,+1-489-384-8428,SysGroup,Chicago,France,2021-12-28,1978-10-18,6701.75,True,Basic
7,Lisa,Moore,customer7@email.com,+1-846-350-3677,CodeInc,San Antonio,Germany,2023-08-03,2009-12-19,2196.15,False,Premium
8,Emily,Johnson,customer8@email.com,+1-924-423-7572,DevCorp,Los Angeles,UK,2023-03-07,1988-03-25,2126.27,False,Regular
9,Thomas,Jones,customer9@email.com,+1-371-242-5040,WebLtd,Dallas,Germany,2023-04-12,1998-06-08,8978.23,False,Regular
10,Emily,Jones,customer10@email.com,+1-621-605-2489,TechCorp,Columbus,Canada,2020-11-09,2016-04-16,1599.82,False,Basic
11,Michael,Gonzalez,customer11@email.com,+1-490-710-8668,WebLtd,Phoenix,Netherlands,2020-01-24,1970-04-11,6817.1,False,Basic
12,William,Brown,customer12@email.com,+1-400-545-3591,CodeInc,New York,Germany,2022-10-22,1976-01-11,5076.82,True,Basic
13,Jennifer,Taylor,customer13@email.com,+1-723-303-3504,SysGroup,Fort Worth,Mexico,2023-01-09,2007-07-31,9184.93,False,Regular
14,John,Brown,customer14@email.com,+1-471-999-6038,InfoTech,New York,UK,2023-03-07,1967-01-24,856.53,False,Premium
15,Nancy,Jones,customer15@email.com,+1-231-775-8787,WebLtd,Chicago,Germany,2022-12-16,2014-06-02,4231.38,True,Basic
16,Robert,Martinez,customer16@email.com,+1-508-787-7118,CodeInc,Charlotte,Netherlands,2022-07-13,1970-11-09,2479.06,True,Regular
17,John,Jackson,customer17@email.com,+1-667-335-4608,TechCorp,Los Angeles,USA,2021-04-13,1966-01-17,9054.2,False,Premium
18,Christopher,Davis,customer18@email.com,+1-385-785-8953,InfoTech,Dallas,Mexico,2023-03-15,2011-09-11,4726.71,False,Regular
19,Robert,Brown,customer19@email.com,+1-199-774-8062,SysGroup,San Antonio,Spain,2022-08-14,1964-11-10,6733.65,True,Premium
20,Richard,Hernandez,customer20@email.com,+1-919-982-2790,InfoTech,Houston,UK,2023-01-03,2000-03-31,1401.82,True,Regular
21,Thomas,Davis,customer21@email.com,+1-995-177-8260,WebLtd,Los Angeles,USA,2023-08-28,2008-06-30,8360.28,True,Premium
22,Lisa,Wilson,customer22@email.com,+1-597-592-4502,NetSolutions,Charlotte,USA,2020-12-03,1993-12-31,21.55,False,Regular
23,Thomas,Martinez,customer23@email.com,+1-533-813-8973,CloudSys,Houston,Germany,2021-03-21,1965-03-31,5791.8,True,Basic
24,William,Johnson,customer24@email.com,+1-151-698-8811,WebLtd,Charlotte,Netherlands,2020-11-18,1965-02-06,9607.79,True,Premium
25,Michael,Martin,customer25@email.com,+1-169-791-4853,NetSolutions,Los Angeles,Australia,2021-05-19,2011-12-09,5945.19,True,Regular
26,Daniel,Jackson,customer26@email.com,+1-635-423-5272,InfoTech,Austin,France,2021-05-03,1983-10-30,3957.86,False,Regular
27,William,Williams,customer27@email.com,+1-109-569-2638,DataSoft,Dallas,UK,2022-11-02,1983-10-17,1324.57,False,Premium
28,Emily,Lopez,customer28@email.com,+1-391-261-8179,WebLtd,Jacksonville,Germany,2023-06-06,2018-09-02,5289.41,False,Basic
29,Sarah,Jones,customer29@email.com,+1-370-218-2753,WebLtd,Chicago,Germany,2021-07-31,2014-04-06,2106.3,False,Premium
30,James,Taylor,customer30@email.com,+1-600-357-1832,DataSoft,Austin,Spain,2021-07-20,1963-12-15,35.46,True,Basic
31,James,Garcia,customer31@email.com,+1-859-552-8007,WebLtd,New York,Canada,2020-06-03,1973-05-16,5455.9,False,Basic
32,Nancy,Jones,customer32@email.com,+1-540-230-1685,DevCorp,Philadelphia,USA,2022-01-02,1978-11-05,6820.67,True,Regular
33,Nancy,Wilson,customer33@email.com,+1-735-867-3532,InfoTech,Columbus,Mexico,2020-12-28,1996-12-27,247.86,False,Regular
34,Emily,Rodriguez,customer34@email.com,+1-263-906-2771,NetSolutions,Columbus,USA,2022-08-21,1979-12-15,1995.73,False,Regular
35,Jennifer,Davis,customer35@email.com,+1-328-124-4164,NetSolutions,Philadelphia,Germany,2020-05-22,1985-01-15,3511.46,False,Basic
36,Nancy,Hernandez,customer36@email.com,+1-128-218-5279,CloudSys,San Jose,Germany,2020-03-19,1969-09-22,5965.71,False,Basic
37,William,Wilson,customer37@email.com,+1-720-623-2894,NetSolutions,Charlotte,Australia,2021-01-24,1982-11-07,443.87,False,Premium
38,Christopher,Moore,customer38@email.com,+1-803-836-4228,SysGroup,San Antonio,Canada,2023-09-22,1989-08-15,6231.55,True,Basic
39,Jennifer,Taylor,customer39@email.com,+1-416-782-7691,SysGroup,San Antonio,Germany,2023-02-09,1971-06-02,1918.4,False,Basic
40,Lisa,Martin,customer40@email.com,+1-682-408-7653,WebLtd,Columbus,USA,2021-09-14,1985-09-27,2101.83,False,Regular
41,Thomas,Anderson,customer41@email.com,+1-791-318-9375,CodeInc,Fort Worth,Mexico,2023-09-11,1967-08-10,2837.86,False,Premium
42,Emily,Martinez,customer42@email.com,+1-330-925-4262,CloudSys,New York,USA,2021-05-16,2002-08-17,6112.74,True,Regular
43,Michelle,Jackson,customer43@email.com,+1-299-835-7291,CodeInc,San Antonio,UK,2020-10-29,2018-11-09,6876.22,True,Regular
44,Emily,Garcia,customer44@email.com,+1-923-812-9486,CodeInc,New York,Netherlands,2021-05-25,1970-11-20,4564.62,False,Basic
45,Christopher,Moore,customer45@email.com,+1-709-424-8251,AppCorp,Columbus,Netherlands,2022-05-23,2009-02-24,4459.14,True,Basic
46,Karen,Anderson,customer46@email.com,+1-365-869-5050,DevCorp,Fort Worth,Netherlands,2022-09-19,2016-03-24,2392.46,False,Premium
47,Jennifer,Davis,customer47@email.com,+1-378-443-6238,WebLtd,Los Angeles,Mexico,2020-11-04,1980-09-29,3830.35,True,Basic
48,Robert,Williams,customer48@email.com,+1-524-517-6421,WebLtd,San Diego,Spain,2020-05-07,1978-07-22,8328.91,False,Basic
49,John,Jackson,customer49@email.com,+1-489-588-1096,SysGroup,Phoenix,Spain,2022-05-08,2008-04-14,7475.16,True,Regular
50,Emily,Rodriguez,customer50@email.com,+1-546-597-1475,NetSolutions,Philadelphia,Spain,2020-12-04,2001-12-06,9195.42,True,Regular
51,Daniel,Jackson,customer51@email.com,+1-778-127-2375,NetSolutions,Chicago,Italy,2021-01-07,1964-07-05,2601.56,False,Premium
52,Thomas,Hernandez,customer52@email.com,+1-445-879-7211,DevCorp,Fort Worth,Spain,2021-05-31,1967-05-07,4703.07,True,Regular
53,Emily,Williams,customer53@email.com,+1-899-767-1659,TechCorp,Houston,UK,2020-02-11,2015-09-28,1523.82,True,Regular
54,Sarah,Jackson,customer54@email.com,+1-323-576-5198,SysGroup,Chicago,Australia,2023-05-28,1970-04-11,7777.92,True,Regular
55,Sarah,Jackson,customer55@email.com,+1-126-419-7149,NetSolutions,Jacksonville,UK,2020-06-04,2013-02-12,6906.14,True,Premium
56,Jennifer,Martin,customer56@email.com,+1-924-223-1672,SysGroup,Dallas,Spain,2023-09-16,1993-03-30,689.57,False,Premium
57,Michelle,Thomas,customer57@email.com,+1-208-543-6934,CodeInc,Jacksonville,Mexico,2022-06-10,1975-10-20,7337.95,False,Basic
58,Nancy,Thomas,customer58@email.com,+1-576-546-5397,SysGroup,Columbus,UK,2020-06-26,1985-01-08,8816.31,True,Regular
59,Daniel,Martin,customer59@email.com,+1-784-488-6511,TechCorp,San Diego,France,2021-01-07,2003-09-28,2121.2,False,Regular
60,James,Martin,customer60@email.com,+1-818-382-1166,WebLtd,Houston,Canada,2021-05-09,1996-06-17,4885.78,True,Basic
61,Karen,Thomas,customer61@email.com,+1-558-911-1282,DataSoft,Phoenix,UK,2022-04-08,1981-10-29,3062.06,False,Regular
62,Nancy,Taylor,customer62@email.com,+1-452-535-6419,SysGroup,Jacksonville,Italy,2021-07-08,1987-07-05,2514.04,True,Basic
63,Robert,Hernandez,customer63@email.com,+1-222-860-9779,CloudSys,Houston,UK,2022-09-18,1984-10-21,7245.85,False,Premium
64,Robert,Martinez,customer64@email.com,+1-332-469-3939,DevCorp,New York,Netherlands,2020-09-16,1984-08-10,455.16,True,Basic
65,Jennifer,Jones,customer65@email.com,+1-753-989-9042,DataSoft,Columbus,USA,2023-03-21,1985-07-05,4693.97,False,Regular
66,Lisa,Johnson,customer66@email.com,+1-358-982-8827,DataSoft,Columbus,Canada,2022-03-31,2004-02-12,740.82,True,Premium
67,David,Jackson,customer67@email.com,+1-411-187-5066,DataSoft,Dallas,Spain,2023-05-26,2013-06-24,7907.41,True,Basic
68,Richard,Anderson,customer68@email.com,+1-553-404-8025,DevCorp,San Jose,Australia,2020-05-03,2014-09-10,9601.09,True,Premium
69,Robert,Rodriguez,customer69@email.com,+1-776-183-3573,InfoTech,Chicago,Netherlands,2020-06-02,1974-01-16,26.76,False,Basic
70,Betty,Thomas,customer70@email.com,+1-398-133-4792,DevCorp,Jacksonville,Germany,2023-12-10,2000-09-24,711.8,True,Regular
71,Daniel,Miller,customer71@email.com,+1-535-217-9922,InfoTech,Austin,Mexico,2021-06-28,1972-10-04,714.1,True,Regular
72,Betty,Jackson,customer72@email.com,+1-395-549-3037,CodeInc,Jacksonville,Germany,2023-12-04,1996-02-10,9426.76,False,Regular
73,Michael,Martin,customer73@email.com,+1-140-542-6280,AppCorp,Phoenix,USA,2020-07-06,1980-07-15,9619.11,True,Basic
74,James,Jackson,customer74@email.com,+1-141-881-3870,CodeInc,Dallas,Italy,2021-07-23,1976-04-13,9969.45,False,Basic
75,Karen,Williams,customer75@email.com,+1-581-456-7690,SysGroup,Philadelphia,Canada,2020-11-25,1989-08-03,4116.45,False,Regular
76,Richard,Moore,customer76@email.com,+1-137-565-2442,SysGroup,Phoenix,France,2020-08-25,1996-04-05,8649.11,True,Basic
77,Nancy,Anderson,customer77@email.com,+1-523-155-4073,WebLtd,Philadelphia,Australia,2022-10-17,2016-02-09,4420.41,True,Premium
78,James,Moore,customer78@email.com,+1-234-394-8178,CodeInc,Los Angeles,USA,2023-07-14,2014-08-16,7993.14,True,Regular
79,Nancy,Smith,customer79@email.com,+1-665-517-2527,InfoTech,Columbus,Canada,2022-08-03,1970-07-16,6477.1,True,Regular
80,Jennifer,Taylor,customer80@email.com,+1-822-379-7807,CodeInc,San Diego,UK,2022-07-24,2009-06-15,1446.42,True,Basic
81,Christopher,Jones,customer81@email.com,+1-984-171-5526,NetSolutions,Philadelphia,Netherlands,2021-07-01,1960-03-25,2828.39,False,Basic
